aristocracy;e;c;b
vote;1;1;0
oligarchy;e;c;b
vote;3;5;0
vote;3;0;0
dictatorship;b;c;e
vote;0;3;1
vote;0;0;1
tyrannis;b;c;e
vote;2;0;0
democracy;b;c;e
vote;1;1;1
plutocracy;b;c;e
vote;2;3;5
vote;2;3;0
vote;2;0;0
dictatorship;b;e;c
vote;2;1;1
vote;0;1;1
tyrannis;b;e;c
vote;2;0;0
democracy;b;c;e
vote;1;1;1
plutocracy;b;c;e
voteNoRevolution;1;3;5
voteNoRevolution;1;3;0
voteNoRevolution;1;0;0
dictatorship;b;c;e
voteNoRevolution;2;1;1
voteNoRevolution;0;1;1
voteNoRevolution;2;1;1
voteNoRevolution;0;1;1
voteNoRevolution;2;1;1
voteNoRevolution;0;1;1
voteNoRevolution;2;1;1
tyrannis;b;c;e
voteNoRevolution;1;0;0
voteNoRevolution;1;0;0
voteNoRevolution;1;0;0
voteNoRevolution;1;0;0
voteNoRevolution;1;0;0
aristocracy;b;c;e
voteNoRevolution;1;1;0
voteNoRevolution;1;1;0
voteNoRevolution;1;1;0
voteNoRevolution;1;1;0
voteNoRevolution;1;1;0
oligarchy;b;c;e;f;g;h;i
voteNoRevolution;2;3;5;0;0;0;0
voteNoRevolution;2;3;0;0;0;0;0
voteNoRevolution;2;0;0;0;0;0;0
voteNoRevolution;2;3;5;0;0;0;0
voteNoRevolution;2;3;0;0;0;0;0
voteNoRevolution;2;0;0;0;0;0;0
voteNoRevolution;2;3;5;0;0;0;0
voteNoRevolution;2;3;0;0;0;0;0
voteNoRevolution;2;0;0;0;0;0;0
voteNoRevolution;2;3;5;0;0;0;0
voteNoRevolution;2;3;0;0;0;0;0
voteNoRevolution;2;0;0;0;0;0;0
voteNoRevolution;2;3;5;0;0;0;0
voteNoRevolution;2;3;0;0;0;0;0
voteNoRevolution;2;0;0;0;0;0;0
voteNoRevolution;2;3;5;0;0;0;0
voteNoRevolution;2;3;0;0;0;0;0
voteNoRevolution;2;0;0;0;0;0;0
voteNoRevolution;2;3;5;0;0;0;0
democracy;i;h;b;f;g;e;c
voteNoRevolution;2;0;1;1;1;2;0
voteNoRevolution;0;0;1;1;1;0;0
voteNoRevolution;2;0;1;1;1;2;0
voteNoRevolution;0;0;1;1;1;0;0
voteNoRevolution;2;0;1;1;1;2;0
voteNoRevolution;0;0;1;1;1;0;0
voteNoRevolution;2;0;1;1;1;2;0
voteNoRevolution;0;0;1;1;1;0;0
voteNoRevolution;2;0;1;1;1;2;0
voteNoRevolution;2;0;1;1;1;2;0
voteNoRevolution;2;0;1;1;1;2;0
voteNoRevolution;2;0;1;1;1;2;0
voteNoRevolution;2;0;1;1;1;2;0
voteNoRevolution;0;0;1;1;1;0;0
voteNoRevolution;2;0;0;0;0;2;0
voteNoRevolution;0;0;1;1;1;0;0
voteNoRevolution;2;0;0;0;0;2;0
voteNoRevolution;0;0;1;1;1;0;0
voteNoRevolution;2;0;0;0;0;2;0
voteNoRevolution;0;0;0;2;1;0;0
voteNoRevolution;0;0;0;0;1;0;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;0;0;0;0;1;0;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;0;0;0;0;1;0;0
democracy;b;e;c
democracy;f;c;b;h;i;e;g
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;0;0;0;0;1;0;0
voteNoRevolution;0;0;0;0;1;0;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;0;0;0;0;1;0;0
voteNoRevolution;2;0;0;2;1;2;0
voteNoRevolution;2;0;0;3;0;1;0
voteNoRevolution;2;0;0;3;0;1;0
voteNoRevolution;2;0;0;0;0;1;0
voteNoRevolution;0;0;0;0;0;1;0
voteNoRevolution;2;0;0;3;1;1;0
voteNoRevolution;2;0;0;0;1;1;0
voteNoRevolution;0;0;0;0;1;1;0
voteNoRevolution;2;0;0;3;1;1;0
voteNoRevolution;2;0;0;3;1;1;0
voteNoRevolution;2;0;0;0;1;1;0
voteNoRevolution;0;0;0;0;1;1;0
voteNoRevolution;2;0;0;3;1;1;0
plutocracy;f;c;b;h;i;e;g
voteNoRevolution;5;0;0;29;11;13;0
voteNoRevolution;5;0;0;0;11;13;0
voteNoRevolution;5;0;0;0;11;0;0
voteNoRevolution;5;0;0;0;0;0;0
voteNoRevolution;5;0;0;29;11;13;0
dictatorship;b;e;h;c;f;g;i
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;0;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;0;0;0;0;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;0;0;0;3;1;1;0
voteNoRevolution;0;0;0;0;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;0;0;0;3;1;1;0
voteNoRevolution;0;0;0;0;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;0;0;0;3;1;1;0
voteNoRevolution;0;0;0;0;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;0;0;0;3;1;1;0
voteNoRevolution;0;0;0;0;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;0;0;0;3;1;1;0
voteNoRevolution;0;0;0;0;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;0;0;0;3;1;1;0
voteNoRevolution;0;0;0;0;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
voteNoRevolution;7;0;0;3;1;1;0
